run,THETA1,THETA2,THETA3,THETA4,THETA5,THETA6,THETA7,THETA8,"OMEGA(1,1)","OMEGA(2,1)","OMEGA(2,2)","OMEGA(3,1)","OMEGA(3,2)","OMEGA(3,3)","SIGMA(1,1)"
001,0.49433,4.19432,1.20144,4.19875,1.24203,0.487577,-0.0614813,0.376684,0.293026,0.0890896,0.0799996,0.150879,0.0703968,0.1245,0.0391779
002,0.405107,4.0666,1.1411,4.2325,1.31917,0.536115,-0.10301,0.517007,0.240515,0.0648119,0.0723678,0.123872,0.0679629,0.11424,0.0408938
003,0.499985,4.09426,1.14793,4.21306,1.27384,0.413392,-0.075187,0.522594,0.184497,0.0500664,0.0705595,0.124807,0.0539462,0.0948073,0.0399625
004,0.578297,4.16187,1.20212,4.18447,1.3032,0.517734,-0.0501804,0.418011,0.269935,0.0877764,0.0875143,0.146208,0.0665295,0.102892,0.0399964
005,0.499255,4.14441,1.16464,4.25151,1.22407,0.435929,-0.0686156,0.393874,0.261377,0.0646368,0.0731537,0.140728,0.0729179,0.132373,0.0405787
006,0.555776,4.14892,1.17463,4.18557,1.26661,0.523521,-0.0142789,0.36464800000000003,0.2304,0.0585451,0.0720002,0.118355,0.0638394,0.110987,0.0411018
007,0.352014,4.05038,1.12926,4.20786,1.3505,0.509765,-0.0225331,0.438909,0.256638,0.112312,0.102673,0.159886,0.0884772,0.130531,0.0400722
008,0.38462,4.1113,1.17582,4.22955,1.29999,0.483377,-0.0354129,0.351252,0.181532,0.0649031,0.0891024,0.103724,0.0697402,0.110288,0.0393225
009,0.511973,4.18357,1.22357,4.15855,1.15598,0.500857,0.00906026,0.492763,0.28293,0.0840886,0.084138,0.159325,0.0840043,0.13527,0.0399373
010,0.506015,4.1704,1.21733,4.18598,1.26414,0.450918,-0.0735513,0.298782,0.257242,0.0778079,0.0896459,0.150675,0.0796598,0.124807,0.0389462
011,0.468139,4.11849,1.1521,4.2134,1.24317,0.470742,-0.111167,0.446201,0.211436,0.0772494,0.0814499,0.113108,0.074256,0.122755,0.0368688
012,0.410998,4.11515,1.16937,4.20591,1.28653,0.495967,-0.0268237,0.453169,0.115881,0.0622495,0.0824933,0.0998425,0.0647975,0.105807,0.0414203
013,0.396155,4.10985,1.1426,4.24566,1.303,0.437047,-0.0947846,0.394711,0.294538,0.0790064,0.0929706,0.112197,0.0709073,0.116085,0.0385187
014,0.492747,4.15259,1.19899,4.18591,1.27398,0.511111,0.119794,0.365973,0.144807,0.0559556,0.0911943,0.0930172,0.0754127,0.123772,0.0392336
015,0.447855,4.0811,1.16436,4.21573,1.28581,0.461495,-0.102725,0.425931,0.23218,0.0824573,0.0813237,0.154757,0.0732133,0.11723,0.0389092
016,0.394214,4.11217,1.16884,4.17126,1.20164,0.539161,0.00140604,0.424862,0.153986,0.00308453,0.0594818,0.0725777,0.048662,0.0953024,0.0395373
017,0.577252,4.14468,1.18415,4.24858,1.24693,0.479566,0.0198691,0.409123,0.243126,0.0727531,0.0772929,0.150132,0.0784114,0.132481,0.0406469
018,0.441695,4.10649,1.18317,4.21215,1.313,0.442642,0.0297299,0.351985,0.258912,0.0722013,0.0777976,0.127045,0.0731531,0.121142,0.0400764
019,0.584079,4.11355,1.19126,4.20349,1.24623,0.397553,0.107338,0.448229,0.181594,0.077975,0.0949464,0.131644,0.0689985,0.0979843,0.0403944
020,0.417348,4.15884,1.20348,4.19642,1.29651,0.445314,0.0375567,0.462767,0.168041,0.0570163,0.0836633,0.118729,0.0632167,0.096147,0.0404674
021,0.401499,4.13383,1.20198,4.23487,1.27109,0.583587,-0.0329322,0.530824,0.224178,0.0896757,0.0864969,0.136974,0.0849514,0.132652,0.0404175
022,0.406327,4.1335,1.16452,4.21513,1.27529,0.43524,0.0461588,0.525495,0.221185,0.051211,0.089221,0.113557,0.0714057,0.111333,0.0387539
023,0.475543,4.1361,1.2099,4.22152,1.28884,0.517628,0.0205549,0.430706,0.278338,0.0862235,0.0839102,0.143027,0.0720866,0.117004,0.0403484
024,0.444675,4.11891,1.1266,4.23882,1.25687,0.553485,0.119257,0.345078,0.15619,0.0398792,0.0656244,0.0942637,0.0554291,0.103487,0.0412831
025,0.374747,4.08542,1.13696,4.21362,1.30237,0.552002,-0.153357,0.542725,0.247552,0.0837469,0.0861175,0.140706,0.067429,0.112958,0.0408329
026,0.533162,4.13952,1.15632,4.21182,1.23537,0.489497,-0.141716,0.443893,0.21155,0.0576005,0.0698322,0.14158,0.0615914,0.104578,0.0416552
027,0.405901,4.09732,1.12882,4.19287,1.28803,0.479134,-0.103174,0.424945,0.170221,0.0522107,0.0791932,0.103855,0.0647833,0.102094,0.041891
028,0.411437,4.11164,1.17589,4.20554,1.29659,0.551633,-0.016394100000000002,0.442084,0.235896,0.0977715,0.100502,0.130158,0.0803279,0.113716,0.0422362
029,0.522354,4.14564,1.19746,4.22844,1.26921,0.501631,0.0012986,0.462263,0.199305,0.075934,0.0829998,0.122717,0.065948,0.105572,0.0382158
030,0.438631,4.12551,1.20013,4.19676,1.28201,0.523004,-0.100521,0.415547,0.18497,0.0565588,0.0872195,0.105265,0.0708735,0.107493,0.0407337
031,0.410843,4.0921,1.18129,4.25706,1.35801,0.489746,-0.0578923,0.490464,0.143005,0.0507095,0.0695891,0.110294,0.0711263,0.11608,0.0407148
032,0.45401,4.09831,1.17996,4.19384,1.31715,0.423337,-0.091572,0.387402,0.272859,0.0760155,0.0879479,0.164983,0.0931395,0.150827,0.0383381
033,0.431156,4.1234,1.17827,4.20347,1.27005,0.505481,-0.0524268,0.463983,0.234173,0.0543902,0.0809056,0.123203,0.0696591,0.120495,0.039966
