run,THETA1,THETA2,THETA3,THETA4,THETA5,THETA6,THETA7,THETA8,"OMEGA(1,1)","OMEGA(2,1)","OMEGA(2,2)","OMEGA(3,1)","OMEGA(3,2)","OMEGA(3,3)","SIGMA(1,1)"
001,0.49433,4.19432,1.20144,4.19875,1.24203,0.487577,-0.0614813,0.376684,0.293026,0.0890896,0.0799996,0.150879,0.0703967,0.1245,0.0391779
002,0.405107,4.0666,1.1411,4.2325,1.31916,0.536116,-0.103004,0.517007,0.24051,0.0648101,0.0723668,0.123869,0.0679622,0.11424,0.0408939
003,0.499985,4.09426,1.14793,4.21306,1.27384,0.413392,-0.075187,0.522594,0.184497,0.0500664,0.0705595,0.124807,0.0539462,0.0948073,0.0399625
004,0.578297,4.16187,1.20212,4.18447,1.3032,0.517734,-0.0501804,0.418011,0.269935,0.0877764,0.0875142,0.146208,0.0665294,0.102892,0.0399964
005,0.499148,4.14436,1.16456,4.25154,1.22407,0.436034,-0.068527,0.393684,0.261406,0.0647065,0.0731722,0.140758,0.0729623,0.132436,0.040578500000000003
006,0.555776,4.14892,1.17463,4.18557,1.26661,0.523521,-0.0142789,0.36464800000000003,0.2304,0.0585451,0.0720002,0.118355,0.0638394,0.110987,0.0411018
007,0.352014,4.05038,1.12926,4.20786,1.3505,0.509765,-0.0225331,0.438909,0.256638,0.112312,0.102673,0.159886,0.0884772,0.130531,0.0400722
008,0.38462,4.1113,1.17582,4.22955,1.29999,0.483377,-0.0354129,0.351252,0.181532,0.0649031,0.0891024,0.103724,0.0697402,0.110288,0.0393225
009,0.511973,4.18357,1.22357,4.15855,1.15598,0.500857,0.00906026,0.492763,0.28293,0.0840886,0.084138,0.159325,0.0840043,0.13527,0.0399373
010,0.506015,4.1704,1.21733,4.18598,1.26414,0.450918,-0.0735513,0.298782,0.257242,0.0778079,0.0896459,0.150675,0.0796598,0.124807,0.0389462
011,0.468139,4.11849,1.1521,4.2134,1.24317,0.470742,-0.111167,0.446201,0.211436,0.0772494,0.0814499,0.113108,0.074256,0.122755,0.0368688
012,0.411027,4.11516,1.16938,4.2059,1.28651,0.495951,-0.0268331,0.453187,0.115901,0.0622467,0.0824911,0.099851,0.0647971,0.105813,0.0414199
013,0.396155,4.10985,1.1426,4.24566,1.30299,0.437047,-0.0947844,0.394711,0.294537,0.0790063,0.0929705,0.112197,0.0709073,0.116085,0.0385187
014,0.492747,4.15259,1.19899,4.18591,1.27398,0.511111,0.119794,0.365973,0.144807,0.0559556,0.0911943,0.0930173,0.0754127,0.123772,0.0392336
015,0.447879,4.08113,1.16437,4.21574,1.28575,0.461482,-0.102761,0.425968,0.232186,0.0824646,0.0813213,0.154773,0.0732157,0.117245,0.0389102
